,day_ticket_price,season_ticket_price,season_start_num,season_end_num,season_start,season_end,is_seasonal,size_of_site_acres
0,7.0,,5.0,9.0,May,Sep,Seasonal,10.0
1,6.5,29.0,1.0,11.0,Jan,Nov,Seasonal,20.0
2,12.5,37.5,4.0,10.0,Apr,Oct,Seasonal,10.0
3,7.0,,6.0,8.0,Jun,Aug,Seasonal,3.0
4,10.0,,,,,,Year-round,10.0
5,7.0,,5.0,9.0,May,Sep,Seasonal,5.0
6,7.0,35.0,3.0,10.0,Mar,Oct,Seasonal,900.0
7,4.5,,4.0,7.0,Apr,Jul,Seasonal,1.3
8,6.0,24.0,4.0,10.0,Apr,Oct,Seasonal,5.5
9,10.5,,,,,,Year-round,12.0
10,7.5,35.0,4.0,9.0,Apr,Sep,Seasonal,2.5
11,,,,,,,,1.5
12,6.5,,,,,,Year-round,8.0
13,8.0,,,,,,Seasonal,56.0
14,9.0,18.0,,,,,Year-round,12.0
15,5.0,,4.0,10.0,Apr,Oct,Seasonal,6.0
16,8.5,24.0,3.0,10.0,Mar,Oct,Seasonal,7.0
17,8.5,,6.0,9.0,Jun,Sep,Seasonal,2.0
18,8.5,30.0,4.0,10.0,Apr,Oct,Seasonal,70.0
19,4.0,,4.0,10.0,Apr,Oct,Seasonal,3.0
20,7.5,20.0,3.0,11.0,Mar,Nov,Seasonal,50.0
21,8.0,72.0,3.0,11.0,Mar,Nov,Year-round,250.0
22,5.0,30.0,4.0,9.0,Apr,Sep,Seasonal,3.0
23,,,5.0,9.0,May,Sep,Seasonal,1.0
24,9.0,55.0,4.0,11.0,Apr,Nov,Seasonal,42.0
25,13.0,33.0,,,,,Seasonal,300.0
26,3.9,,5.0,6.0,May,Jun,Seasonal,3.0
27,8.950000000000001,35.0,,,,,Year-round,10.0
28,13.0,30.0,3.0,11.0,Mar,Nov,Seasonal,23.0
29,10.0,,5.0,9.0,May,Sep,Seasonal,3.0
30,,,,,,,Year-round,1.5
31,,,,,,,Year-round,37.0
32,5.0,,3.0,10.0,Mar,Oct,Seasonal,3.0
33,8.5,35.0,3.0,9.0,Mar,Sep,Seasonal,65.0
34,6.0,,2.0,10.0,Feb,Oct,Seasonal,1.75
35,12.5,70.0,,,,,Year-round,26.0
36,5.0,,5.0,8.0,May,Aug,Seasonal,100.0
37,10.0,40.0,,,,,Year-round,16.0
38,6.0,,,,,,Year-round,10.0
39,,,,,,,Year-round,10.0
40,,,,,,,Year-round,16.0
41,15.0,40.0,,,,,Year-round,600.0
42,7.0,44.0,,,,,Year-round,40.0
